date,sp500,nikkei225,hangseng
2001-10-15,1089.98,10452.54,10130.6
2001-10-16,1097.54,10637.82,10148.5
2001-10-17,1077.09,10755.45,10260.8
2001-10-18,1068.61,10474.85,9880.61
2001-10-19,1073.48,10538.79,9825.84
2001-10-22,1089.9,10565.41,9797.54
2001-10-23,1084.78,10861.56,10219.8
2001-10-24,1085.2,10802.15,10243.5
2001-10-25,1100.09,10880.1,10243.5
2001-10-26,1104.61,10795.16,10404.7
2001-10-29,1078.3,10612.31,10178.1
2001-10-30,1059.79,10512.82,10076.4
2001-10-31,1059.78,10366.34,10074.0
2001-11-01,1084.1,10347.28,10158.8
2001-11-02,1087.2,10383.78,10186.1
2001-11-05,1102.84,10447.54,10430.7
2001-11-06,1118.86,10633.72,10356.0
2001-11-07,1115.8,10284.98,10269.8
2001-11-08,1118.54,10431.79,10538.6
2001-11-09,1120.31,10215.71,10609.2
2001-11-12,1118.33,10081.56,10592.5
2001-11-13,1139.09,10030.56,10662.8
2001-11-14,1141.21,10086.76,10950.0
2001-11-15,1142.24,10489.89,11239.4
2001-11-16,1138.65,10649.09,11287.4
2001-11-19,1151.06,10727.94,11360.3
2001-11-20,1142.66,10575.62,11225.8
2001-11-21,1137.03,10661.08,11173.9
2001-11-23,1150.34,,11322.4
2001-11-26,1157.42,11064.3,11392.0
2001-11-27,1149.5,10948.89,11261.5
2001-11-28,1128.52,10624.81,11066.2
2001-11-29,1140.2,10655.96,11090.7
2001-11-30,1139.45,10697.44,11279.2
2001-12-03,1129.9,10370.62,11155.2
2001-12-04,1144.8,10452.65,11427.3
2001-12-05,1170.35,10713.81,11678.4
2001-12-06,1167.1,10857.28,11745.8
2001-12-07,1158.31,10796.89,11832.2
2001-12-10,1139.93,10571.01,11784.9
2001-12-11,1136.76,10473.91,11693.0
2001-12-12,1137.07,10801.52,11847.1
2001-12-13,1119.38,10433.45,11529.5
2001-12-14,1123.09,10511.65,11466.1
2001-12-17,1134.36,10323.35,11465.8
2001-12-18,1142.92,10432.17,11486.9
2001-12-19,1149.56,10471.93,11565.2
2001-12-20,1139.93,10434.52,11601.1
2001-12-21,1144.89,10335.45,11158.1
2001-12-24,1144.65,,11209.8
2001-12-26,1149.37,10192.57,
2001-12-27,1157.13,10457.61,11359.5
2001-12-28,1161.02,10542.62,11431.6
2001-12-31,1148.08,,11397.2
2002-01-02,1154.67,,11350.8
2002-01-03,1165.27,,11423.5
2002-01-04,1172.51,10871.49,11702.2
2002-01-07,1164.89,10942.36,11892.6
2002-01-08,1160.71,10695.6,11713.7
2002-01-09,1155.14,10663.98,11440.7
2002-01-10,1156.55,10538.43,11256.1
2002-01-11,1145.6,10441.59,11166.5
2002-01-14,1138.41,,11209.4
2002-01-15,1146.19,10208.05,11013.6
2002-01-16,1127.57,10177.58,10964.1
2002-01-17,1138.88,10128.18,11013.8
2002-01-18,1127.58,10293.32,10973.0
2002-01-22,1119.31,10050.98,10797.7
2002-01-23,1128.18,10040.91,10762.1
2002-01-24,1132.15,10074.05,10741.5
2002-01-25,1133.28,10144.14,10773.0
2002-01-28,1133.06,10220.85,10767.5
2002-01-29,1100.64,10026.03,11014.2
2002-01-30,1113.57,9919.48,10757.0
2002-01-31,1130.2,9997.8,10725.3
2002-02-01,1122.2,9791.43,10691.2
2002-02-04,1094.44,9631.93,10721.3
2002-02-05,1090.02,9475.6,10609.2
2002-02-06,1083.51,9420.85,10592.4
2002-02-07,1080.17,9583.27,10409.7
2002-02-08,1096.22,9686.06,10519.0
2002-02-11,1111.94,,10832.7
2002-02-12,1107.5,9877.99,
2002-02-13,1118.51,9968.35,
2002-02-14,1116.48,10081.09,
2002-02-15,1104.18,10048.1,10961.9
2002-02-19,1083.34,9847.16,10840.5
